name,desc,img,type,mag,size,dist,const,catalog
M63,"Star formation is one of the most important processes in shaping the universe. In addition to birthing new stars, it gives rise to planetary systems and plays a pivotal role in the evolution of galaxies. Yet there is still much that astronomers do not understand about this fundamental process. The driving force behind star formation is particularly unclear for a type of galaxy called a flocculent spiral. Unlike grand-design spiral galaxies, flocculent spiral galaxies do not have well defined spiral arms. Instead, they appear to have many discontinuous arms.  M63, also known as the Sunflower galaxy, is one such flocculent spiral galaxy. Although it only has two arms, many appear to be winding around its yellow core in this image captured by Hubble. The arms shine with the radiation from recently formed blue stars and can be more clearly seen in infrared observations. By imaging flocculent spiral galaxies like M63, astronomers hope to gain a better understanding of how stars form in such systems.  The Sunflower galaxy was discovered in 1779 by the French astronomer Pierre Méchain and was the first of 24 objects that Méchain would contribute to Charles Messier’s catalog. The galaxy is located roughly 27 million light-years from Earth in the constellation Canes Venatici. It has an apparent magnitude of 9.3 and appears as a faint patch of light in small telescopes. The best time to observe M63 is during May. ",M63,Galaxy,9.3,12.6,37000000,Canes Venatici,NGC 5055
M64,"Easily identified by the spectacular band of absorbing dust partially obscuring its bright nucleus, M64, or the Black Eye galaxy, is characterized by its bizarre internal motion. The gas in the outer regions of this remarkable galaxy is rotating in the opposite direction from the gas and stars in its inner regions. This strange behavior can be attributed to a merger between M64 and a satellite galaxy over a billion years ago. New stars are forming in the region where the oppositely rotating gases collide, are compressed, and then contract. M64 was discovered by the English astronomer Edward Pigott. It is located 17 million light-years from Earth in the constellation Coma Berenices and is best observed in May. With an apparent magnitude of 9.8, the Black Eye galaxy can be spotted with a moderately sized telescope.",M63,Galaxy,9.3,10.3,24000000,Coma Berenices,NGC 4826
M65,"M65 is a spiral galaxy with an apparent magnitude of 10.3. Charles Messier discovered it and its neighbor M66 on the same night in 1780. Located roughly 35 million light-years from Earth in the constellation Leo, M65 is a member of the Leo Triplet of galaxies. It can be spotted with a small telescope in the same field of view as the other members of the triplet (M66 and NGC 3628). The best time to observe M65 is in April.  This image of M65’s center is a composite created using exposures taken with Hubble at both visible and infrared wavelengths. Its stair-step appearance results from the design of the camera used to take the exposures. The camera consisted of four light detectors, one of which provided a higher resolution but had a smaller field of view than the other three. Because the detector with the higher resolution did not cover as much area as the others, black regions remain when the images from all four detectors are combined into one picture.",M65,Galaxy,10.1,9,35000000,Leo,NGC 3623
M66,"In 1780, Charles Messier discovered spiral galaxy M66 along with its neighbor M65, both of which belong to the Leo Triplet of galaxies. (The third member, NGC 3628, was discovered by William Herschel in 1784 and is not included in the Messier catalog). M66 is located 35 million light-years from Earth in the constellation Leo and has an apparent magnitude of 8.9. Best observed during April, M66 can be spotted with a small telescope. Because the galaxies in the Leo Triplet interact with one another, each has an effect on its neighbors’ structures. M66 displays asymmetric spiral arms and a core that appears to be off center — features likely caused by the gravitational pull of the other two galaxies in the Leo Triplet.",M63,Galaxy,9.7,9.1,36000000,Leo,NGC 3627
M67,"Messier 67 (M67), nicknamed the King Cobra Cluster, is an open cluster located in the northern constellation Cancer, the Crab.  The cluster has an apparent magnitude of 6.1 and lies at an approximate distance of 2,610 to 2,930 light years from Earth. It has the designation NGC 2682 in the New General Catalogue.  Messier 67 can be found roughly halfway and slightly above the imaginary line connecting the bright stars Regulus in Leo and Procyon in Canis Minor. With an apparent diameter of 30 arc minutes, M67 appears roughly the same size as the full Moon. Small 10×50 binoculars show the cluster as an elongated patch of light, while small telescopes reveal its brightest stars. 6-inch and 8-inch instruments resolve dozens of stars, while 12-inch telescopes reveal about 100 individual stars in the cluster. The best time of year to observe M67 from northern latitudes is during the late winter and early spring.",M35,Open Cluster,6.9,30,2710,Cancer,NGC 2682
M68,"Discovered by Charles Messier in 1780, M68 is a dense collection of stars known as a globular cluster. Mutual gravitational attraction amongst the hundreds of thousands or even millions of stars in such a cluster keeps stellar members packed tightly together for many billions of years.  Roughly 150 of these objects reside in our Milky Way galaxy. On a galactic scale, globular clusters are relatively small. In M68’s case, its constituent stars span a volume of space with a diameter of little more than a hundred light-years. The disk of the Milky Way, on the other hand, extends over 100,000 light-years.  M68 is located 33,000 light-years from Earth in the constellation Hydra. It has an apparent magnitude of 8 and can be spotted with a pair of binoculars. The cluster is best observed during April.",M5,Globular Cluster,7.8,9.8,33600,Hydra,NGC 4590
M69,"M69 is one of the most metal-rich globular clusters ever observed. In astronomy, the term “metal” refers to any element heavier than the two most common elements in our universe, hydrogen and helium. The nuclear fusion that powers stars created many of the metallic elements in nature, from the calcium in our bones to the carbon in diamonds. New stars are made from the remains of their predecessors, so ancient globular clusters have much lower metallic abundances than more recently formed stars, such as the sun.  The stars in M69 have over ten times more iron than stars in other globular clusters of the same age. Studying the makeup of stars in globular clusters like M69 has helped astronomers trace back the evolution of star formation in the cosmos.  This cluster was discovered by Charles Messier in 1780. It is located 29,700 light-years away from Earth in the constellation Sagittarius. M69 has an apparent magnitude of 8.3 and can be spotted with a pair of binoculars most easily in August.",M5,Globular Cluster,7.6,7.1,29700,Sagittarius,NGC 6637
M70,"Quarters are always tight in globular clusters, where the mutual hold of gravity binds together hundreds of thousands of stars in a small region of space. M70 is particularly fascinating because it has undergone what is known as a core collapse. This means that even more stars squeeze into the object’s core than in an average globular cluster.  The legions of stars in a globular cluster orbit about a shared center of gravity. Some stars maintain relatively circular orbits, while others loop out into the cluster’s fringes. As the stars interact with each other over time, lighter stars tend to pick up speed and migrate out toward the cluster’s edges, while the heavier stars are slower and congregate toward the center. This huddling effect produces the characteristically dense center of core-collapsed clusters. About a fifth of the roughly 150 globular clusters in the Milky Way have undergone a core collapse.  M70 was discovered by Charles Messier in 1780. It is located 30,000 light-years away in the constellation Sagittarius. With an apparent magnitude of 9.1, the cluster can be observed through a small telescope best in the month of August.",M5,Globular Cluster,7.9,7.8,29400,Sagittarius,NGC 6681
M71,"Ever since it was discovered in 1746 by the Swiss astronomer Jean-Philippe Loys de Chéseaux, the nature of M71 has been the subject of some questioning. Over the centuries, it has been classified as both an abnormally dense open star cluster and as an unusually loose globular cluster.  Because M71 does not seem to have a high concentration of stars at its center, and because the elemental composition of the stars it contains suggests that they are younger than most globular clusters, M71 was initially believed to be an open cluster. In the 1970s, astronomers examined the relationship between the brightnesses and temperatures of the stars in the cluster. They found a characteristic trend among the stellar population that is unique to globular clusters, so M71 was reclassified as a young, loosely concentrated globular cluster — one of the smallest of its kind. M71 is located roughly 13,000 light-years from Earth in the constellation Sagitta. It has an apparent magnitude of 6.1 and appears as a faint patch of light with a pair of binoculars. The cluster is best observed during September.",M5,Globular Cluster,8.2,6.1,13000,Sagitta,NGC 6838
M72,"Pierre Méchain, a French astronomer and colleague of Charles Messier, discovered the globular cluster M72 in 1780. It was the first of five star clusters that Méchain would discover while assisting Messier and, at a distance of 50,000 light-years from Earth, it is one of the most remote clusters in Messier’s catalog. M72 is located in the constellation Aquarius and has an apparent magnitude of 9.4. The cluster appears as a faint patch of light in small telescopes, and the best time to observe it is during September.  A globular cluster is an ancient, spherical collection of old stars that are packed very closely together toward the cluster’s center. The stars in the cluster orbit around a mutual center of gravity at this dense core. Roughly 150 globular clusters have been discovered in the Milky Way galaxy.",M5,Globular Cluster,9.3,5.1,54570,Aquarius,NGC 6981
M73,"Messier 73 (M73) is an asterism formed by four physically unrelated stars located in the southern constellation Aquarius.  M73 has an apparent magnitude of 9 and lies at an approximate distance of 2,500 light years from Earth. It has the designation NGC 6994 in the New General Catalogue.  The four stars that form the Y-shaped asterism only appear close to each other in the sky because they are located along the same line of sight when seen from Earth.       The asterism can be found in the southern part of Aquarius constellation, near the border with Capricornus. It is positioned about 1.5 degrees east of the globular cluster Messier 72, and just below the imaginary line connecting the bright stars Fomalhaut in Piscis Austrinus and Altair in Aquila constellation.  M73 can also be found 2 degrees south and 1.5 degrees east of the magnitude 4.5 star Albulaan, Nu Aquarii. As both Aquarius and Capricornus are relatively faint constellations, M72 and M73 are among the more challenging Messier objects to find. The stars of M73 are quite faint and not easy to observe in 10×50 binoculars. Larger binoculars will reveal a dim point of light, while a 4-inch telescope will show the Y shape clearly. The best time of year to observe M73 is during the summer.",M47,Asterism,8.9,2.8,2500,Aquarius,NGC 6994
M74,"A stunning face-on spiral galaxy, M74 was discovered in 1780 by Charles Messier’s observing assistant, the French astronomer Pierre Méchain. M74 is located roughly 32 million light-years away from Earth in the constellation Pisces. With an apparent magnitude of only 10, the galaxy appears as a faint patch of light through small telescopes. It is best observed during November.  M74 is a perfect example of a grand-design spiral galaxy. Symmetrical spiral arms reach out from the galaxy’s central nucleus and are traced by winding dust lanes. The arms are dotted with clusters of young, blue stars and pink regions where the ultraviolet light from these young stars has ionized clouds of hydrogen and caused them to glow.",M63,Galaxy,9.8,10,30000000,Pisces,NGC 628
M75,"Discovered in 1780 by Pierre Méchain, M75 was also observed by Charles Messier and added to his catalog later that year.  M75 is the most centrally concentrated globular cluster in Messier’s catalog, with the majority of its stars located in a large nucleus. In total, there are about 400,000 stars in the globular cluster. M75 is believed to be around 13 billion years old and sits approximately 67,500 light-years away from Earth.  Located in the western part of Sagittarius, M75 has a magnitude of 8.6. The cluster is surprisingly easy to see in binoculars and telescopes thanks to it being extremely condensed in the center. However, because of its compact nature, M75 can barely be distinguished from a star when viewed in binoculars. Telescopes that are 10 inches across or larger are needed to resolve some of the stars in the cluster. August is the best month to observe M75.",M5,Globular Cluster,8.5,4.6,67500,Sagittarius,NGC 6864
M76,"This Hubble image features a portion of the Little Dumbbell Nebula, M76. Other names for M76 are the Cork Nebula or Barbell Nebula. M76 was also given two New General Catalog numbers, NGC 650 and NGC 651, because it was formerly suspected to be a double nebula with two components touching each other. In this Hubble observation, only one half of the nebula is shown, so the double-lobed structure isn’t evident.  M76 is a planetary nebula, which is an expanding shell of gas around an aging or dying star, and it is one of only four planetary nebulas in Charles Messier’s catalog. M76 is located in the constellation Perseus and is approximately 2,500 light-years away from Earth.  Hubble made these observations of M76 with the Wide Field and Planetary Camera 2 and the Wide Field Camera 3 in near-infrared and visible light. Most of the image is in visible light, where part of the nebula’s center (shown in green) is located just above the black “steps” in the image. (The “steps” are created by the layout of the detectors of the Wide Field and Planetary Camera 2.) Other stars not associated with the nebula appear as red dots throughout the image. The Hubble observations were taken to further understand the distribution and evolutionary states of planetary nebulas.  Discovered in 1780 by Messier’s colleague Pierre Méchain, M76 has an apparent magnitude of 12 and is best viewed in December. While it is possible to spot M76 with large binoculars at a dark site, the nebula’s small size and faintness make it one of the more difficult Messier objects to observe. Telescopes 8 inches or larger are needed to reveal the double-lobed structure of the nebula.",M76,Planetary Nebula,12.2,1.08,2500,Perseus,NGC 650
M77,"Initially identified as a nebula by the French astronomer Pierre Méchain in 1780, M77 is one of the largest galaxies in the Messier catalog. It is located in the constellation Cetus at a distance of 45 million light-years from Earth. M77 has an apparent magnitude of 9.6 and can be seen using a small telescope. It is most easily observed during December. M77 is a prime example of a Seyfert galaxy, or a galaxy with an intensely active center that is obscured by gas and dust in visible light.",M63,Galaxy,9.7,7.3,47000000,Cetus,NGC 1068
M78,"This colorful image features a small part of M78, a reflection nebula located in the constellation Orion. A reflection nebula is created when light from a star is scattered or reflected off a nearby dust cloud. M78 is located approximately 1,600 light-years away from Earth and has an apparent magnitude of 8.  M78 was discovered in 1780 by Charles Messier’s colleague Pierre Méchain. It is best seen in January. M78 can be found in binoculars and small telescopes, but telescopes 8 inches or larger will reveal more detail in the nebula. M78 has the distinction of appearing very comet like, with one side of the nebula flaring away like a comet’s tail. This has fooled many comet hunters into believing they have made a new discovery.  This infrared view was made using Hubble’s Near Infrared Camera and Multi-Object Spectrometer (NICMOS) and Wide Field Camera 3. The Hubble observations were taken to develop a better understanding of protostellar evolution, the early developmental stages in a star’s life.",M78,Diffuse Nebula,8,8,1630,Orion,NGC 2068
M79,"Discovered by Charles Messier’s colleague Pierre Méchain in 1780, M79 is a globular cluster in the constellation Lepus the Hare. Best observed in the month of January, the cluster has an apparent magnitude of about 8. The dense heart of the cluster can be spotted as a small, fuzzy patch in binoculars, but observers will need at least a medium-sized telescope to resolve M79’s individual stars and outer environs.  While most globular clusters in our Milky Way galaxy appear around the galactic core in Sagittarius, M79 is one of the few seen on the opposite side of the sky, away from the galaxy’s center. That’s because Earth lies between M79 and the middle of the galaxy. M79 is about 41,000 light-years from us but roughly 60,000 light-years from the galactic center.  M79 is also one of just two globular clusters in the Messier catalog that our galaxy might have stolen from other nearby galaxies in the not-too-distant past. An unusual density of red giant stars in the direction of the constellation Canis Major (not far from M79) could be the remains of a dwarf galaxy that’s currently being shredded and absorbed by our Milky Way galaxy. M79 might have been snatched from this small galaxy, known as the Canis Major Dwarf Galaxy. Not surprisingly, the cluster contains many aging red giant stars. However, Hubble has helped show that M79 also includes numerous “blue stragglers,” which are brighter and bluer than astronomers would expect stellar residents of an old globular cluster to be. Astronomers suspect these strange, youthful-looking objects are the products of their compact environments, forming either from stellar mergers or from one star pulling in material from a close neighbor.",M5,Global Cluster,7.7,7.8,41000,Lepus,NGC 1904
M80,"This stellar swarm is M80, one of the densest of the approximately 150 known globular clusters in the Milky Way galaxy. Located about 28,000 light-years from Earth in the constellation Scorpius, the cluster contains hundreds of thousands of stars that are held together by their mutual gravitational attraction. M80 has an apparent magnitude of 7.9 and was discovered by Charles Messier in 1781. It can be spotted with a small telescope most easily during July.  M80 is notable for being the site of a nova in the year 1860. Nova outbursts can occur when a close companion star transfers fresh hydrogen fuel to a burned-out white dwarf. Eventually the hydrogen ignites a thermonuclear explosion on the surface of the white dwarf, giving rise to the nova outburst. Hubble’s ultraviolet observations of M80 helped astronomers identify the hot, faint remnant of the nova-producing white dwarf.    Hubble’s examination of M80’s core has also revealed a large population of blue stragglers — stars that appear to be unusually young and more massive than the other stars in a globular cluster. M80 contains more than twice as many of these unusual stars than any other globular cluster surveyed by Hubble.",M5,Global Cluster,7.3,5.1,32600,Scorpius,NGC 6093
M81,"Discovered by the German astronomer Johann Elert Bode in 1774, M81 is one of the brightest galaxies in the night sky. It is located 11.6 million light-years from Earth in the constellation Ursa Major and has an apparent magnitude of 6.9. Through a pair of binoculars, the galaxy appears as a faint patch of light in the same field of view as M82. A small telescope will resolve M81’s core. The galaxy is best observed during April. The galaxy’s spiral arms, which wind all the way down into its nucleus, are made up of young, bluish, hot stars formed in the past few million years. They also host a population of stars formed in an episode of star formation that started about 600 million years ago. Ultraviolet light from hot, young stars is fluorescing the surrounding clouds of hydrogen gas. A number of sinuous dust lanes also wind all the way into the nucleus of M81.  The galaxy’s central bulge contains much older, redder stars. It is significantly larger than the Milky Way’s bulge. A black hole of 70 million solar masses resides at the center of M81 and is about 15 times the mass of the Milky Way’s central black hole. Previous Hubble research showed that the size of the black hole in a galaxy’s nucleus is proportional to the mass of the galaxy’s bulge.",M63,Galaxy,7.8,24.9,11800000,Ursa Major,NGC 3031
M82,"M82 or the Cigar galaxy, shines brightly at infrared wavelengths and is remarkable for its star formation activity. The Cigar galaxy experiences gravitational interactions with its galactic neighbor, M81, causing it to have an extraordinarily high rate of star formation — a starburst.  Around the galaxy’s center, young stars are being born 10 times faster than they are inside our entire Milky Way galaxy. Radiation and energetic particles from these newborn stars carve into the surrounding gas, and the resulting galactic wind compresses enough gas to make millions of more stars. The rapid rate of star formation in this galaxy eventually will be self-limiting. When star formation becomes too vigorous, it will consume or destroy the material needed to make more stars. The starburst will then subside, probably in a few tens of millions of years.  M82 was discovered, along with its neighbor M81, by the German astronomer Johann Elert Bode in 1774. Located 12 million light-years from Earth in the constellation Ursa Major, M82 has an apparent magnitude of 8.4 and is best observed in April. Although it is visible as a patch of light with binoculars in the same field of view as M81, larger telescopes are needed in order to resolve the galaxy’s core.  This stunning Hubble image of M82 was assembled using observations at different wavelengths. The red in the image represents hydrogen and infrared light, indicating starburst activity. The blue and greenish-yellow color represent visible wavelengths of light.",M82,Galaxy,9.2,10.5,11500000,Ursa Major,NGC 3034
M83,"This beautiful Hubble image captures hundreds of thousands of individual stars, thousands of star clusters and hundreds of supernova remnants in the spiral galaxy M83. Also known as the Southern Pinwheel, this galaxy is located 15 million light-years away from Earth in the constellation Hydra. It was discovered in 1752 by the French astronomer Nicolas Louis de Lacaille. With an apparent magnitude of 7.5, M83 is one of the brightest spiral galaxies in the night sky. It can be observed using a pair of binoculars most easily in May.  Hubble’s image reveals interstellar “bubbles” produced by nearly 300 supernovas. By studying these supernova remnants, astronomers can better understand the nature of the stars that exploded and dispersed their nuclear processed chemical elements back into the galaxy, contributing to the next generation of new stars.  The newest generations of stars in M83 are forming largely in clusters on the edges of the dark, spiraling dust lanes. These brilliant, young stellar groupings are only a few million years old and produce huge amounts of ultraviolet light. That light is absorbed by the surrounding diffuse gas clouds, causing them to glow in pinkish hydrogen light.",M83,Galaxy,8,13.1,14700000,Hydra,NGC 5236
M84,"Discovered by Charles Messier in 1781, M84 is an elliptical galaxy located 60 million light-years from Earth in the constellation Virgo. It is one of over a thousand galaxies that make up the Virgo cluster. With an apparent magnitude of 10.1, the galaxy can be spotted using a moderately sized telescope most easily during May.    This image of M84 combines observations taken by Hubble at both visible and infrared wavelengths. Although the image does not show the entire galaxy, it highlights one of M84’s most fascinating features: its central region. Previous Hubble observations of M84 taken with a spectrograph have indicated that the galaxy hosts a supermassive black hole at its core.  M84 is also notable for being the site of two stellar explosions called supernovas, one discovered in 1957 and the other in 1991.",M84,Galaxy,10.2,6.7,60000000,Virgo,NGC 4374
M85,"M85 is either an elliptical or a lenticular galaxy. Lenticular galaxies have qualities of both elliptical and spiral galaxies and are sometimes called armless spirals. M85 is interacting with two neighboring galaxies, the spiral NGC 4394 and the elliptical MCG 3-32-38.  Located in the constellation Coma Berenices, M85 is a member of the Virgo cluster of galaxies and was discovered by Charles Messier’s colleague Pierre Méchain in 1781. It lies approximately 60 million light-years away from Earth and is best seen in May. With an apparent magnitude of 9.2, this galaxy is relatively faint and is not easy to spot with binoculars or small telescopes. In telescopes with 8-inch apertures M85 appears as a dim, elongated patch of light. Larger telescopes will reveal more detail in the galaxy.  About 4 billion to 7 billion years ago, M85 likely merged with another galaxy. M85 contains approximately 400 billion stars, and most of these stars are very old. However, the central region contains relatively young stars, under 3 billion years old, and these stars are thought to have formed in a late burst of star formation activity. The core of M85 may contain a supermassive black hole, and in 2006, astronomers spotted a supernova northeast of the galaxy’s center.",M105,Galaxy,10,7.4,60000000,Coma Berenices,NGC 4382
M86,"Located in the constellation Virgo, M86 is either an elliptical galaxy or a lenticular galaxy (a cross between an elliptical and spiral galaxy). M86 was discovered in 1781 by Charles Messier and is one of the brightest members of the Virgo cluster of galaxies. It contains approximately 3,800 globular clusters.  While the majority of the Virgo cluster is receding from the Milky Way, M86 is getting closer to our galaxy. This is because M86 is located on the far side of the Virgo cluster from us and is moving toward the center of the cluster. Of all the galaxies in Messier’s catalog, M86 is moving the fastest in our direction but is still approximately 52 million light-years away from Earth. The best time of the year to view M86 is during May. Having a magnitude of 9.2, M86 can be seen near fellow galaxies in the Virgo cluster with binoculars and small telescopes, with M84 often appearing alongside M86 in the field of view. Telescopes that are 8 inches or larger will reveal several other, fainter galaxies in the same field of view.",M105,Galaxy,9.9,9.8,52000000,Virgo,NGC 4406
M87,"The elliptical galaxy M87 is the home of several trillion stars, a supermassive black hole and a family of roughly 15,000 globular star clusters. For comparison, our Milky Way galaxy contains only a few hundred billion stars and about 150 globular clusters. The monstrous M87 is the dominant member of the neighboring Virgo cluster of galaxies, which contains some 2,000 galaxies. Discovered in 1781 by Charles Messier, this galaxy is located 54 million light-years away from Earth in the constellation Virgo. It has an apparent magnitude of 9.6 and can be observed using a small telescope most easily in May. Its most striking feature is the blue jet near the center which is a black-hole-powered stream of material that is being ejected from M87’s core. As gaseous material from the center of the galaxy accretes onto the black hole, the energy released produces a stream of subatomic particles that are accelerated to velocities near the speed of light.  At the center of the Virgo cluster, M87 may have accumulated some of its many globular clusters by gravitationally pulling them from nearby dwarf galaxies that seem to be devoid of such clusters today.",M105,Galaxy,9.6,8.7,53500000,Virgo,NGC 4486
M88,"Located approximately 47 million light-years away, M88 is a spiral galaxy with well-defined and symmetrical arms. Although it is a member of the Virgo cluster of galaxies, it appears in the neighboring constellation of Coma Berenices. M88 contains an active galactic nucleus, meaning the central region of the galaxy is more luminous than the rest of the galaxy. At the galaxy’s core resides a supermassive black hole estimated to be 100 million times more massive than our Sun. M88 contains around 400 billion stars and is traveling away from our galaxy.  Charles Messier discovered M88 in 1781 on the same night that he discovered eight other Messier objects. Today, it can be observed with binoculars under clear viewing conditions. Smaller telescopes will reveal an elongated object with a brighter core, while larger telescopes will unveil further details, such as a more defined core. M88 has a magnitude of 9.5 and is best observed in May.  This Hubble observation was taken using the Wide Field and Planetary Camera 2 with a single visible-light filter. With Hubble, observations in multiple filters are needed to produce color images, so this image is in black and white only. Nearly half of the galaxy is shown in this Hubble view. Hubble took these observations as part of a survey of spiral galaxies to better assess the properties of spiral galaxies, including their galactic cores, their globular cluster populations, and the occurrence of multiple and off-centered nuclei.",M88,Galaxy,10.2,6.8,47000000,Coma Berenices,NGC 4501
M89,"M89 is one of eight galaxies in the Virgo cluster that Charles Messier discovered in 1781. An elliptical galaxy, M89 is almost exactly circular. It is located about 50 million light-years away in the constellation Virgo. M89 contains approximately 100 billion stars and well over 2,000 globular clusters. It was the first galaxy discovered to have an extended envelope, which means that it has a larger region of light surrounding it than other elliptical galaxies, most likely because of its high number of stars and globular clusters. At the center of M89 is a supermassive black hole estimated to have one billion times the mass of our Sun. Telescopes that are 8 inches or larger can see the 9.8-magnitude galaxy as a faint ball of light. The best time to view M89 is in May.",M105,Galaxy,10.9,5.3,50000000,Virgo,NGC 4552
M90,"M90 is a bright, beautiful spiral galaxy situated in the Virgo cluster of galaxies. Located in the constellation Virgo, this galaxy is approximately 59 million light-years away from Earth and has a magnitude of 9.5. M90 is believed to be breaking away from the rest of the galaxies in the Virgo cluster and is one of the few galaxies traveling toward our Milky Way galaxy, not away.  Charles Messier found M90 in 1781 while looking at other galaxies in the Virgo cluster. M90 contains approximately a trillion stars and a thousand globular clusters. With the exception of the inner disk region, the galaxy’s arms contain very little star formation. Interactions with neighboring galaxies likely stripped away the gas and material that M90 needs to have active star formation in its outer regions. In the future, M90 is expected to evolve into a lenticular galaxy, which is a galaxy that has qualities of both a spiral and an elliptical galaxy. The best time to view M90 is in May. It can be seen with binoculars in a clear, dark sky, and telescopes (especially larger ones) will begin to reveal more details of the galaxy, such as its arms and bright core.",M96,Galaxy,10.2,9.9,58700000,Virgo,NGC 4569
M91,"The spiral galaxy M91 was discovered by Charles Messier in 1781. It was the last of the nine objects (M84—M92) that Messier added to his catalog on a single night in March. Located 60 million light-years from Earth with an apparent magnitude of only 11, M91 is one of the faintest objects in Messier’s catalog. It can be spotted with medium-sized telescopes in the constellation Coma Berenices most easily during May.  M91 is one of over a thousand galaxies that make up the Virgo cluster — a group of galaxies that are gravitationally bound to one another. It is an anemic galaxy, meaning that it has a lower rate of star formation compared to other spiral galaxies.  This image is composed of Hubble observations taken in visible and infrared light. It captures a small portion of M91, highlighting the galaxy’s lack of red-colored star-forming regions. These regions of molecular hydrogen are common in other spiral galaxies.",M91,Galaxy,10.9,5.2,63000000,Coma Berenices,NGC 4548
M92,"Located 27,000 light-years from Earth in the constellation Hercules, this globular cluster — a ball of stars that orbits our galaxy’s core like a satellite — was first discovered by the German astronomer Johann Elert Bode in 1777.  With an apparent magnitude of 6.3, M92 is one of the brightest globular clusters in the Milky Way and is visible to the naked eye under good observing conditions. It can be most easily spotted during the month of July. The cluster is very tightly packed with stars, containing roughly 330,000 stars in total.  As is characteristic of ancient globular clusters — of which M92 is one of the oldest — the predominant elements within M92 are hydrogen and helium, with only traces of others, so it belongs to a group of metal-poor clusters. To astronomers, metals are all elements heavier than hydrogen and helium.",M5,Global Cluster,6.4,12.2,26700,Hercules,NGC 6341
M93,"Messier 93 (M93) is an open star cluster located in the constellation Puppis. It lies at a distance of 3,600 light years from Earth.  Messier 93 has the designation NGC 2447 in the New General Catalogue. The cluster has an apparent diameter of 22 arc minutes, roughly two thirds the size of the full Moon. This corresponds to a spatial extension of about 20 to 25 light years.  M93 can be seen without binoculars under exceptionally clear, dark skies, and is easy to find with binoculars. It has an apparent magnitude of 6.0.       Binoculars and small telescopes reveal the triangular shape formed by the cluster’s brightest stars. Small telescopes show a large, dense star cluster with a grouping of stars shaped like an arrowhead near the centre. 8-inch and larger telescopes resolve dozens of stars in the cluster.  Messier 93 is not very hard to find as it is located in the same area of the sky as Sirius, the brightest star in the sky.",M93,Open Cluster,6.2,22,3600,Puppis,NGC 2447
M94,"M94 is a spiral galaxy located 16 million light-years away in the constellation Canes Venatici. It was discovered in 1781 by Pierre Méchain, a French astronomer for whom an asteroid was named in 2002. The galaxy has an apparent magnitude of 9 and can be spotted through a small telescope. The best time of year to observe M94 is during May. New stars are forming at a high rate within the bright ring. This region is known as a starburst ring. The cause of this peculiarly shaped star-forming region is likely a pressure wave traveling outward from the galactic center, compressing the gas and dust in the outer regions. The compression of material means the gas starts to collapse into denser clouds. Inside these dense clouds, gravity pulls the gas and dust together until the temperature and pressure are high enough for stars to be born.  Although M94 was initially believed to be roughly 30,000 light-years in diameter, two faint spiral arms were recently discovered outside of its core region that extend far out into space. This discovery has effectively tripled the galaxy’s known diameter. M94 is also notable for its deficiency of dark matter relative to other galaxies. Astronomers do not know why it lacks the normal amount of dark matter, but the galaxy has been the subject of extensive study as a result.",M63,Galaxy,8.9,12.3,16000000,Canes Venatici,NGC 4736
M95,"Found in the constellation Leo, M95 is a beautiful barred spiral galaxy. It was discovered in 1781 by Pierre Méchain, a colleague of Charles Messier.  This Hubble observation reveals a section of M95 featuring its central bar of stars in the upper left and one of its spiral arms extending to the lower right. The observations were taken in near-infrared, visible and ultraviolet wavelengths of light with Hubble’s Advanced Camera for Surveys and Wide Field Camera 3. Hubble took these observations of M95 to better understand star formation in nearby galaxies.  M95 is located approximately 33 million light-years away and has a magnitude of 9.7. It has around 40 billion stars. Its spiral arms host a flurry of star birth activity and sparkle with the light of countless young, blue stars. The arms themselves are very tightly wound around the galaxy’s core and are nearly circular.  M95 can be seen as a hazy smudge on a clear, dark night using a good pair of binoculars, but large telescopes will reveal more detail. It appears close to M96, M105 and a number of fainter galaxies that all belong to the Leo I (or M96) group. The best time of the year to view M95 is in April.",M96,Galaxy,10.6,7.3,32600000,Leo,NGC 3351
M96,"In this infrared and visible-light image from Hubble, the spiral galaxy M96 resembles a giant maelstrom of glowing gas, rippled with dark dust that swirls inward toward the nucleus. Its dust and gas are unevenly spread throughout its weak spiral arms, which are asymmetrical because of its gravitational interaction with neighboring galaxies. M96 is also remarkable for the location of its core, which is not exactly at the galactic center.  Because it is gravitationally bound to nearby galaxies, M96 is considered a member of a galaxy group. This collection of galaxies, known as the M96 Group, also includes the bright galaxies M105 and M95, as well as a number of smaller and fainter members. It is the nearest group to Earth containing both bright spirals and a bright elliptical galaxy.  M96 was discovered in 1781 by Pierre Méchain, the French astronomer and cartographer. It is located 35 million light-years from Earth in the constellation Leo. The galaxy has an apparent magnitude of 10.1 and appears very dim in the sky. It can be observed using a medium-sized telescope most easily during April.",M96,Galaxy,10.1,7.8,31000000,Leo,NGC 3368
